species_names,body_mass,diet,source_body_mass,comment
glomeris_hexasticha,0.555,detritivore,,
branta_leucopsis,885.22,herbivore,,
anthonomus_grandis,0.008,herbivore,10.1111/eea.12326,
dendrolimus_pini,2,herbivore,10.3390/f12091261,
orgyia_leucostigma,0.03,herbivore,,
tenebrio_molitor,0.2,herbivore,10.1007/s00217-019-03336-7,
monochamus_scutellatus,0.4,herbivore,,guess
lymantria_dispar,0.6,herbivore,10.1111/phen.12190,
apis_mellifera,0.15,herbivore,10.1673/031.011.9601,
oedaleus_asiaticus,0.52,herbivore,10.1016/j.jinsphys.2010.05.020,
hermetia_illucens,0.15,detritivore,10.1603/0022-2585-39.4.695,
larus_michahellis,1111.89,carnivore,,
pygoscelis_adeliae,4847.67,carnivore,,
calidris_alpina,51.89,omnivore,,
puffinus_pacificus,388,carnivore,,
sula_sula,1031.1,carnivore,,
apus_apus,37.6,carnivore,,
hirundo_rustica,17.91,omnivore,,
delichon_urbicum,14.5,carnivore,,
eudyptula_minor,1107.82,carnivore,,
phalacrocorax_punctatus,1184.73,omnivore,,
procellaria_westlandica,1199,carnivore,,
larus_dominicanus,952.43,carnivore,,
stercorarius_maccormicki,1347.07,carnivore,,
aptenodytes_forsteri,33569.33,carnivore,,
phalacrocorax_carbo,2528.97,carnivore,,
larus_cachinnans,1111.89,carnivore,,
larus_argentatus,1090.99,carnivore,,
anous_minutus,112.44,carnivore,,
pygoscelis_papua,5932.95,carnivore,,
agelaius_phoeniceus,50.78,omnivore,,
luscinia_luscinia,23.8,omnivore,,
chroicocephalus_ridibundus,284,omnivore,,
anas_platyrhynchos,843.42,omnivore,,
anser_anser,3302.41,herbivore,,
puffinus_griseus,787,carnivore,,
chroicocephalus_novaehollandiae,268.99,omnivore,,
daption_capense,429.62,carnivore,,
sterna_vittata,139,carnivore,,
eudyptes_robustus,3038.02,carnivore,,
stercorarius_antarcticus,1650,carnivore,,
thalassarche_bulleri,2781.51,carnivore,,
phocarctos_hookeri,112300,carnivore,,
arctocephalus_forsteri,101250,carnivore,,
sturnus_vulgaris,77.14,omnivore,,
ardea_cinerea,1443,carnivore,,
parus_major,16.25,omnivore,,
cyanistes_caeruleus,13.3,omnivore,,
larus_crassirostris,561,carnivore,,
aptenodytes_patagonicus,11731.07,carnivore,,
eudyptes_chrysocome,2327.85,carnivore,,
macronectes_giganteus,3591.69,carnivore,,
diomedea_exulans,6961.29,carnivore,,
chionis_minor,493.96,omnivore,,
malacosoma_americana,0.05,herbivore,10.1111/j.2007.0030-1299.16114.x,
anacanthotermes_ubachi,0.003,herbivore,10.1016/j.actao.2015.01.003,not species
chloephaga_poliocephala,2007.14,herbivore,,
saccopteryx_bilineata,7.8,carnivore,,
gardnerycteris_crenulatum,13.75,omnivore,,
phyllostomus_elongatus,40.43,omnivore,,
phyllostomus_hastatus,87.21,omnivore,,
tonatia_bidens,27.21,omnivore,,
trachops_cirrhosus,37.67,omnivore,,
glossophaga_soricina,9.43,omnivore,,
carollia_castanea,13.27,herbivore,,
carollia_brevicaudum,14.4,herbivore,,
carollia_perspicillata,18,herbivore,,
rhinophylla_pumilio,9.55,omnivore,,
artibeus_glaucus,11.06,omnivore,,
artibeus_jamaicensis,42.17,omnivore,,
artibeus_lituratus,60.54,omnivore,,
artibeus_obscurus,35.2,omnivore,,
platyrrhinus_helleri,13.5,omnivore,,
platyrrhinus_infuscus,50.2,omnivore,,
uroderma_bilobatum,16.69,omnivore,,
sturnira_lilium,19.1,herbivore,,
myotis_riparius,5.55,carnivore,,
hippopotamus_amphibius,1417489.99,herbivore,,
odocoileus_virginianus,55508.56,herbivore,,
arthrosphaera_dalyi,8,detritivore,"KADAMANNAYA, B. S. et SRIDHAR, K. R. Morphology and distribution of four pill millipedes (Arthrosphaera) of the Western Ghats. Animal Biology Journal, 2009, vol. 1, no 8, p. 98.",
arthrosphaera_davisoni,13,detritivore,"KADAMANNAYA, B. S. et SRIDHAR, K. R. Morphology and distribution of four pill millipedes (Arthrosphaera) of the Western Ghats. Animal Biology Journal, 2009, vol. 1, no 8, p. 98.",
hogna_carolinensis,0.0028,carnivore,10.1111/oik.05685,
glomeris_marginata,1.6,detritivore,10.1016/j.ejsobi.2021.103383 ,
armadillidium_vulgare,1.2,detritivore,,
reticulitermes_flavipes,0.0022,herbivore,"Sociobiology Vol. 52,  No. 1, 2008",
reticulitermes_virginicus,0.021,herbivore,10.18474/0749-8004-47.3.264,
zootermopsis_nevadensis,0.003,herbivore,10.1016/j.actao.2015.01.003,not species
incisitermes_snyderi,0.003,herbivore,10.1016/j.actao.2015.01.003,not species
mamestra_brassicae,0.75,herbivore,10.1007/s10144-011-0267-4,
parasa_consocia,0.6,herbivore,10.18473/lepi.v65i3.a1,
arthrosphaera_disticta,3,detritivore,"DWARAKANATH, S. K., BERLIN, O. G. W., et PANDIAN, R. Selvaraj. Oxygen consumption as a function of size and temperature in the pill millipede Arthrosphaera disticta (Pocock). Monitore Zoologico Italiano-Italian Journal of Zoology, 1973, vol. 7, no 1-2, p. 43-50.",
arthrosphaera_fumosa,13,detritivore,"KADAMANNAYA, B. S. et SRIDHAR, K. R. Morphology and distribution of four pill millipedes (Arthrosphaera) of the Western Ghats. Animal Biology Journal, 2009, vol. 1, no 8, p. 98.",
cepaea_nemoralis,1.3,detritivore,10.1016/S0196-9781(97)00004-1,
ommatoiulus_sabulosus,0.24,detritivore,,
porcellio_scaber,0.045,detritivore,10.1046/j.1365-2435.1998.00227.x,
tachypodoiulus_niger,0.02,detritivore,10.5285/78408af3-452f-41af-95f3-ffc13b05c232,
gonimbrasia_belina,6,herbivore,10.1016/S1146-609X(97)80077-X,
dendrolimus_spectabilis,2.25,herbivore,10.3390/f12091261,not species
melanoplus_borealis,0.3,herbivore,10.1665/1082-6467(2004)013[0239:RIONAA]2.0.CO;2,not species
pseudochorthippus_curtipennis,0.1,herbivore,10.1038/s41598-020-64252-5,
tomocerus_minor,0.0015,detritivore,,guess
philoscia_muscorum,0.002,detritivore,,guess
felis_manul,3050,carnivore,,
martes_flavigula,1842.5,omnivore,,
phloeomys_pallidus,1744.14,herbivore,,
vulpes_corsac,2400,omnivore,,
panthera_pardus,52038.22,carnivore,,
uncia_uncia,44167,carnivore,,
aspidites_ramsayi,6107,carnivore,,
suricata_suricatta,725.5,omnivore,,
uromastyx_acanthinura,525,herbivore,,
furcifer_pardalis,68,omnivore,,
bufotes_viridis,75,carnivore,,
timon_lepidus,0.05,omnivore,,
trachycephalus_resinifictrix,0.013,carnivore,10.1007/s00359-016-1069-0,
sanzinia_madagascariensis,300,carnivore,,guess
vipera_berus,0.08,carnivore,10.2307/50437,
python_regius,1.1,carnivore,10.1670/111-02n ,
heloderma_horridum,0.8,carnivore,,
boa_constrictor,5,carnivore,10.1670/122-02a ,
speothos_venaticus,5999.98,carnivore,,
damaliscus_pygargus,102000,herbivore,,
oryx_dammah,200000,herbivore,,
oryx_gazella,169001.28,herbivore,,
arctocephalus_australis,45000,carnivore,,
kobus_leche,110749.05,herbivore,,
giraffa_giraffa,899994.8,herbivore,,
hippotragus_equinus,269997.66,herbivore,,
struthio_camelus,111000,omnivore,,
potamochoerus_porcus,70000.32,omnivore,,
oryx_leucoryx,87700,herbivore,,
ceratotherium_simum,2949986.31,herbivore,,
natrix_maura,39.5,carnivore,10.1016/j.cbpa.2006.12.028,
antheraea_polyphemus,7,herbivore,,
macropus_parma,4500,herbivore,,
vicugna_vicugna,47499.61,herbivore,,
genetta_genetta,1800,carnivore,,
vulpes_lagopus,3584.37,carnivore,,
pudu_puda,9749.9,herbivore,,
capra_ibex,85166.51,herbivore,,
erethizon_dorsatus,7085.33,herbivore,,
myrmecophaga_tridactyla,22333.15,carnivore,,
rhinoceros_unicornis,1602333,herbivore,,
antidorcas_marsupialis,31500,herbivore,,
bos_frontalis,800000,herbivore,,
sus_cebifrons,190792.3,omnivore,,
capra_falconeri,41000,herbivore,,
acrocodia_indica,296250,herbivore,,
budorcas_taxicolor,302000,herbivore,,
naemorhedus_griseus,27655.49,herbivore,,
oreamnos_americanus,72500.33,herbivore,,
macropus_rufogriseus,16850,herbivore,,
bos_grunniens,416500,herbivore,,
lama_glama,142500,herbivore,,
macropus_rufus,46250,herbivore,,
nasua_nasua,3793.85,omnivore,,
salvator_rufescens,2300,omnivore,10.1155/2016/8176267,
rhea_americana,23000,omnivore,,
dolichotis_patagonum,8000,herbivore,,
dromaius_novaehollandiae,34093.25,omnivore,,
centrochelys_sulcata,15000,herbivore,10.1016/j.actao.2020.103581,
sapajus_xanthosternos,2687.21,omnivore,,
eulemur_fulvus,3150,herbivore,,
varecia_variegata,3850,herbivore,,
hystrix_indica,12435.83,herbivore,,
tapirus_terrestris,207500.91,herbivore,,
pseudois_nayaur,45000,herbivore,,
goura_sclaterii,2000,herbivore,,
macropus_giganteus,25875,herbivore,,
rhaebo_guttatus,300,carnivore,,guess
leontopithecus_chrysomelas,572.8,omnivore,,
testudo_hermanni,1000,herbivore,,
bucorvus_leadbeateri,5000,carnivore,,
trichechus_manatus,433333,herbivore,,
dasyprocta_azarae,2309.99,omnivore,,
gorilla_gorilla,131625.52,herbivore,,
martes_foina,1540.8,omnivore,,
muntiacus_reevesi,13500,herbivore,,
colobus_guereza,10600,herbivore,,
equus_przewalskii,250000,herbivore,,
