"species_latin_name_gbif","component_name","avg_component_mean","n_obs","body_mass","diet"
"zootermopsis_nevadensis","P",-3.98673606929639,8,0.003,"Herbivore"
"anacanthotermes_ubachi","C/N",1.39286707579833,1,0.003,"Herbivore"
"anacanthotermes_ubachi","C/P",NA,1,0.003,"Herbivore"
"anacanthotermes_ubachi","N/P",NA,1,0.003,"Herbivore"
"antheraea_polyphemus","C/N",1.37221405424398,1,7,"Herbivore"
"antheraea_polyphemus","C/P",2.5874094466854,1,7,"Herbivore"
"antheraea_polyphemus","N/P",1.21519539244142,1,7,"Herbivore"
"armadillidium_vulgare","C/N",1.36362940759164,18,1.2,"Detritivore"
"armadillidium_vulgare","C/P",NA,18,1.2,"Detritivore"
"armadillidium_vulgare","N/P",NA,18,1.2,"Detritivore"
"arthrosphaera_dalyi","C/N",NA,0,8,"Detritivore"
"arthrosphaera_dalyi","C/P",NA,0,8,"Detritivore"
"arthrosphaera_dalyi","N/P",NA,3,8,"Detritivore"
"arthrosphaera_davisoni","C/N",NA,0,13,"Detritivore"
"arthrosphaera_davisoni","C/P",NA,0,13,"Detritivore"
"arthrosphaera_davisoni","N/P",NA,3,13,"Detritivore"
"arthrosphaera_disticta","C/N",NA,0,3,"Detritivore"
"arthrosphaera_disticta","C/P",NA,0,3,"Detritivore"
"arthrosphaera_disticta","N/P",NA,1,3,"Detritivore"
"arthrosphaera_fumosa","C/N",NA,0,13,"Detritivore"
"arthrosphaera_fumosa","C/P",NA,0,13,"Detritivore"
"arthrosphaera_fumosa","N/P",NA,1,13,"Detritivore"
"glomeris_hexasticha","C/N",1.37295157602421,1,0.555,"Detritivore"
"glomeris_hexasticha","C/P",NA,1,0.555,"Detritivore"
"glomeris_hexasticha","N/P",NA,1,0.555,"Detritivore"
"glomeris_marginata","C/N",1.41385901218529,25,1.6,"Detritivore"
"glomeris_marginata","C/P",NA,25,1.6,"Detritivore"
"glomeris_marginata","N/P",NA,25,1.6,"Detritivore"
"hermetia_illucens","C/N",1.31289499694863,3,0.15,"Detritivore"
"hermetia_illucens","C/P",NA,3,0.15,"Detritivore"
"hermetia_illucens","N/P",NA,3,0.15,"Detritivore"
"hogna_carolinensis","C/N",0.490977716201779,77,0.0028,"Carnivore"
"hogna_carolinensis","C/P",NA,77,0.0028,"Carnivore"
"hogna_carolinensis","N/P",NA,77,0.0028,"Carnivore"
"incisitermes_snyderi","C/N",2.37917614386478,7,0.003,"Herbivore"
"incisitermes_snyderi","C/P",3.56933449990933,7,0.003,"Herbivore"
"incisitermes_snyderi","N/P",1.19015835604455,7,0.003,"Herbivore"
"lymantria_dispar","C/N",1.30102999566398,1,0.6,"Herbivore"
"lymantria_dispar","C/P",NA,1,0.6,"Herbivore"
"lymantria_dispar","N/P",NA,1,0.6,"Herbivore"
"mamestra_brassicae","C/N",0.71004114868685,2,0.75,"Herbivore"
"mamestra_brassicae","C/P",NA,2,0.75,"Herbivore"
"mamestra_brassicae","N/P",NA,2,0.75,"Herbivore"
"monochamus_scutellatus","C/N",NA,0,0.4,"Herbivore"
"monochamus_scutellatus","C/P",NA,0,0.4,"Herbivore"
"monochamus_scutellatus","N/P",NA,1,0.4,"Herbivore"
"oedaleus_asiaticus","C/N",NA,0,0.52,"Herbivore"
"oedaleus_asiaticus","C/P",NA,0,0.52,"Herbivore"
"oedaleus_asiaticus","N/P",NA,54,0.52,"Herbivore"
"ommatoiulus_sabulosus","C/N",1.39701319984141,18,0.24,"Detritivore"
"ommatoiulus_sabulosus","C/P",NA,18,0.24,"Detritivore"
"ommatoiulus_sabulosus","N/P",NA,18,0.24,"Detritivore"
"orgyia_leucostigma","C/N",1.62890821406822,1,0.03,"Herbivore"
"orgyia_leucostigma","C/P",NA,1,0.03,"Herbivore"
"orgyia_leucostigma","N/P",NA,1,0.03,"Herbivore"
"philoscia_muscorum","C/N",1.53121611722719,1,0.002,"Detritivore"
"philoscia_muscorum","C/P",NA,1,0.002,"Detritivore"
"philoscia_muscorum","N/P",NA,1,0.002,"Detritivore"
"porcellio_scaber","C/N",1.32839015505127,18,0.045,"Detritivore"
"porcellio_scaber","C/P",NA,18,0.045,"Detritivore"
"porcellio_scaber","N/P",NA,18,0.045,"Detritivore"
"reticulitermes_flavipes","C/N",1.82620915943672,4,0.0022,"Herbivore"
"reticulitermes_flavipes","C/P",3.28249005111558,4,0.0022,"Herbivore"
"reticulitermes_flavipes","N/P",1.45628089167886,4,0.0022,"Herbivore"
"reticulitermes_virginicus","C/N",2.05084764740369,1,0.021,"Herbivore"
"reticulitermes_virginicus","C/P",3.45127931226146,1,0.021,"Herbivore"
"reticulitermes_virginicus","N/P",1.40043166485777,1,0.021,"Herbivore"
"tachypodoiulus_niger","C/N",1.37400434017778,18,0.02,"Detritivore"
"tachypodoiulus_niger","C/P",NA,18,0.02,"Detritivore"
"tachypodoiulus_niger","N/P",NA,18,0.02,"Detritivore"
"tomocerus_minor","C/N",1.25688172103606,1,0.0015,"Detritivore"
"tomocerus_minor","C/P",NA,1,0.0015,"Detritivore"
"tomocerus_minor","N/P",NA,1,0.0015,"Detritivore"
"zootermopsis_nevadensis","C/N",2.23153618609477,8,0.003,"Herbivore"
"zootermopsis_nevadensis","C/P",3.68476915913556,8,0.003,"Herbivore"
"zootermopsis_nevadensis","N/P",1.45323297304079,8,0.003,"Herbivore"
