Credit;Reference;doi;Class;Subclass;Superorder;Order;Suborder;Family;Genus;Species;Species_binomial;Group;Diet_full;Functional_group;Habitat;Mass_dry_full;Mass_log10;C_mean;N_mean;P_mean;CN_ratio;CP_ratio;NP_ratio;Organism_source;Stoichio_analysis;Nitrogen_calc_from_prot;Staff
Back_2013;NA;10.1899/12-181.1;Insecta;Pterygota;NA;Hemiptera;Heteroptera;Veliidae;Rhagovelia;choreutes;Rhagovelia choreutes;Invert;C;Invert C;Freshwater;0,000184;-3,735182177;51,1;11,5;NA;5,184057971;NA;NA;Field;Whole body;No;JS
Back_2013;NA;10.1899/12-181.1;Insecta;Pterygota;NA;Diptera;Brachycera;Tabanidae;Tabanus;NA;Tabanus;Invert;C;Invert C;Freshwater;0,0014575;-2,836391437;47,9;11,3;NA;4,945427729;NA;NA;Field;Whole body;No;JS
Back_2013;NA;10.1899/12-181.1;Insecta;Pterygota;NA;Trichoptera;Annulipalpia;Philopotamidae;Chimarra;NA;Chimarra;Invert;C;Invert C;Freshwater;0,0002705;-3,567832731;50;11;NA;5,303030303;NA;NA;Field;Whole body;No;JS
Back_2013;NA;10.1899/12-181.1;Insecta;Pterygota;NA;Coleoptera;Polyphaga;Elmidae;Stenelmis;NA;Stenelmis;Invert;C;Invert C;Freshwater;0,0003905;-3,408378962;54;11;NA;5,727272727;NA;NA;Field;Whole body;No;JS
Back_2013;NA;10.1899/12-181.1;Insecta;Pterygota;NA;Ephemeroptera;Furcatergalia;Leptophlebiidae;Neochoroterpes;nanita;Neochoroterpes nanita;Invert;C;Invert C;Freshwater;0,0017215;-2,764092973;47,4;10,5;NA;5,266666667;NA;NA;Field;Whole body;No;JS
Back_2013;NA;10.1899/12-181.1;Insecta;Pterygota;NA;Ephemeroptera;Pisciforma;Baetidae;Baetodes;inermis;Baetodes inermis;Invert;C;Invert C;Freshwater;0,00085;-3,070581074;56,2;10,2;NA;6,428104575;NA;NA;Field;Whole body;No;JS
Back_2013;NA;10.1899/12-181.1;Insecta;Pterygota;NA;Coleoptera;Polyphaga;Psephenidae;Psephenus;texanus;Psephenus texanus;Invert;H;Invert H;Freshwater;0,00272;-2,565431096;52,8;9,6;NA;6,416666667;NA;NA;Field;Whole body;No;JS
Bertram_2008;NA;10.1673/031.008.2601;Insecta;Pterygota;NA;Orthoptera;Ensifera;Gryllidae;Gryllus;texensis;Gryllus texensis;Invert;O;Invert O;Terrestrial;0,13;-0,886056648;53,17;10,37;0,74;6,1;182,74;30,13;Field;Multiple bodies;No;JS â€“ BA
Bertram_2008;NA;10.1673/031.008.2601;NA;NA;NA;NA;NA;NA;Sabinia;setosa;Sabinia setosa;Invert;H;Invert H;Terrestrial;0,000125;-3,903089987;NA;NA;0,5;NA;NA;NA;Field;Multiple bodies;No;BA
Bertram_2008;NA;10.1673/031.008.2601;NA;NA;NA;NA;NA;NA;Sabinia;setosa;Sabinia setosa;Invert;H;Invert H;Terrestrial;0,000125;-3,903089987;NA;NA;0,47;NA;NA;NA;Field;Multiple bodies;No;BA
Bertram_2008;NA;10.1673/031.008.2601;NA;NA;NA;NA;NA;NA;Sabinia;setosa;Sabinia setosa;Invert;H;Invert H;Terrestrial;0,000125;-3,903089987;NA;NA;0,67;NA;NA;NA;Field;Multiple bodies;No;BA
Back_2008;NA;10.1127/1863-9135/2008/0171-0233;Insecta;Pterygota;NA;Ephemeroptera;Furcatergalia;Caenidae;Caenis;NA;Caenis;Invert;D;Invert D;Freshwater;1,00E-05;-5;48,2;11,7;0,93;4,806267806;133,8888889;NA;Field;Whole body;No;JS
Back_2008;NA;10.1127/1863-9135/2008/0171-0233;Insecta;Pterygota;NA;Ephemeroptera;Furcatergalia;Caenidae;Caenis;NA;Caenis;Invert;D;Invert D;Freshwater;1,00E-05;-5;47;11,7;0,71;4,686609687;171,0093897;NA;Field;Whole body;No;JS
Back_2008;NA;10.1127/1863-9135/2008/0171-0233;Insecta;Pterygota;NA;Ephemeroptera;Furcatergalia;Caenidae;Caenis;NA;Caenis;Invert;D;Invert D;Freshwater;7,10E-05;-4,148741651;48,9;12;0,81;4,754166667;155,9567901;NA;Field;Whole body;No;JS
Back_2008;NA;10.1127/1863-9135/2008/0171-0233;Insecta;Pterygota;NA;Ephemeroptera;Furcatergalia;Caenidae;Caenis;NA;Caenis;Invert;D;Invert D;Freshwater;7,10E-05;-4,148741651;47,2;10,4;0,59;5,294871795;206,6666667;NA;Field;Whole body;No;JS
Back_2008;NA;10.1127/1863-9135/2008/0171-0233;Insecta;Pterygota;NA;Ephemeroptera;Furcatergalia;Caenidae;Caenis;NA;Caenis;Invert;D;Invert D;Freshwater;0,000289;-3,539102157;51,4;12;0,83;4,997222222;159,9799197;NA;Field;Whole body;No;JS
Back_2008;NA;10.1127/1863-9135/2008/0171-0233;Insecta;Pterygota;NA;Ephemeroptera;Furcatergalia;Caenidae;Caenis;NA;Caenis;Invert;D;Invert D;Freshwater;0,000289;-3,539102157;50,7;10,8;0,74;5,476851852;176,9932432;NA;Field;Whole body;No;JS
Back_2008;NA;10.1127/1863-9135/2008/0171-0233;Insecta;Pterygota;NA;Ephemeroptera;Furcatergalia;Caenidae;Caenis;NA;Caenis;Invert;D;Invert D;Freshwater;0,000461;-3,336299075;53,1;11,5;0,89;5,386956522;154,1292135;NA;Field;Whole body;No;JS
Back_2008;NA;10.1127/1863-9135/2008/0171-0233;Insecta;Pterygota;NA;Ephemeroptera;Furcatergalia;Caenidae;Caenis;NA;Caenis;Invert;D;Invert D;Freshwater;0,000461;-3,336299075;48,1;10,6;1,17;5,294025157;106,2037037;NA;Field;Whole body;No;JS
Boswell_2008;NA;10.1665/1082-6467-17.2.307;Insecta;Pterygota;NA;Orthoptera;Caelifera;Acrididae;Schistocerca;americana;Schistocerca americana;Invert;H;Invert H;Terrestrial;0,007832502;-2,106099473;47,98449612;16,55542426;1,07226078;3,381484597;115,6061572;34,18798869;Laboratory-reared;Whole body;No;BA
Boswell_2008;NA;10.1665/1082-6467-17.2.307;Insecta;Pterygota;NA;Orthoptera;Caelifera;Acrididae;Schistocerca;americana;Schistocerca americana;Invert;H;Invert H;Terrestrial;0,009414964;-2,026181337;44,96124031;15,43846637;1,16373876;3,397667818;99,8075121;29,37530019;Laboratory-reared;Whole body;No;BA
Boswell_2008;NA;10.1665/1082-6467-17.2.307;Insecta;Pterygota;NA;Orthoptera;Caelifera;Acrididae;Schistocerca;americana;Schistocerca americana;Invert;H;Invert H;Terrestrial;0,011349331;-1,945029737;45,65891473;14,82383407;1,04031744;3,593451843;113,3809658;31,55210388;Laboratory-reared;Whole body;No;BA
Boswell_2008;NA;10.1665/1082-6467-17.2.307;Insecta;Pterygota;NA;Orthoptera;Caelifera;Acrididae;Schistocerca;americana;Schistocerca americana;Invert;H;Invert H;Terrestrial;0,019117466;-1,71856967;47,05426357;13,369956;1,1125896;4,105970193;109,2557826;26,6090053;Laboratory-reared;Whole body;No;BA
Boswell_2008;NA;10.1665/1082-6467-17.2.307;Insecta;Pterygota;NA;Orthoptera;Caelifera;Acrididae;Schistocerca;americana;Schistocerca americana;Invert;H;Invert H;Terrestrial;0,02911054;-1,535949744;45,65891473;13,58981772;1,15505177;3,919753372;102,1185366;26,05228618;Laboratory-reared;Whole body;No;BA
Boswell_2008;NA;10.1665/1082-6467-17.2.307;Insecta;Pterygota;NA;Orthoptera;Caelifera;Acrididae;Schistocerca;americana;Schistocerca americana;Invert;H;Invert H;Terrestrial;0,029372756;-1,532055298;43,56589147;11,94307982;1,08909432;4,25575933;103,3383586;24,28200248;Laboratory-reared;Whole body;No;BA
Boswell_2008;NA;10.1665/1082-6467-17.2.307;Insecta;Pterygota;NA;Orthoptera;Caelifera;Acrididae;Schistocerca;americana;Schistocerca americana;Invert;H;Invert H;Terrestrial;0,040208859;-1,395678247;43,48837209;12,24620993;1,22304585;4,14303155;91,8567043;22,17137456;Laboratory-reared;Whole body;No;BA
Boswell_2008;NA;10.1665/1082-6467-17.2.307;Insecta;Pterygota;NA;Orthoptera;Caelifera;Acrididae;Schistocerca;americana;Schistocerca americana;Invert;H;Invert H;Terrestrial;0,045366563;-1,343264125;45,27131783;11,74230044;1,21873933;4,497971904;95,96055629;21,33418312;Laboratory-reared;Whole body;No;BA
Boswell_2008;NA;10.1665/1082-6467-17.2.307;Insecta;Pterygota;NA;Orthoptera;Caelifera;Acrididae;Schistocerca;americana;Schistocerca americana;Invert;H;Invert H;Terrestrial;0,099293726;-1,003078192;45,50387597;11,41631678;1,26294231;4,650173634;93,0776317;20,01594758;Laboratory-reared;Whole body;No;BA
Boswell_2008;NA;10.1665/1082-6467-17.2.307;Insecta;Pterygota;NA;Orthoptera;Caelifera;Acrididae;Schistocerca;americana;Schistocerca americana;Invert;H;Invert H;Terrestrial;0,104947665;-0,979027221;44,65116279;11,30265242;1,17991808;4,608920218;97,76003879;21,21105035;Laboratory-reared;Whole body;No;BA
Boswell_2008;NA;10.1665/1082-6467-17.2.307;Insecta;Pterygota;NA;Orthoptera;Caelifera;Acrididae;Schistocerca;americana;Schistocerca americana;Invert;H;Invert H;Terrestrial;0,123154327;-0,909550325;43,95348837;11,29631678;1,09677438;4,539450403;103,5276845;22,80621557;Laboratory-reared;Whole body;No;BA
Boswell_2008;NA;10.1665/1082-6467-17.2.307;Insecta;Pterygota;NA;Orthoptera;Caelifera;Acrididae;Schistocerca;americana;Schistocerca americana;Invert;H;Invert H;Terrestrial;0,161096515;-0,792913854;42,40310078;9,46923947;1,07303447;5,224314411;102,0855771;19,54047347;Laboratory-reared;Whole body;No;BA
Boswell_2008;NA;10.1665/1082-6467-17.2.307;Insecta;Pterygota;NA;Orthoptera;Caelifera;Acrididae;Schistocerca;americana;Schistocerca americana;Invert;H;Invert H;Terrestrial;0,226901868;-0,644161929;44,34108527;12,29289755;1,0575549;4,208223972;108,3138131;25,73860466;Laboratory-reared;Whole body;No;BA
Boswell_2008;NA;10.1665/1082-6467-17.2.307;Insecta;Pterygota;NA;Orthoptera;Caelifera;Acrididae;Schistocerca;americana;Schistocerca americana;Invert;H;Invert H;Terrestrial;0,269756876;-0,569027477;45,65891473;11,55215588;1,20610991;4,61115089;97,79556191;21,20849312;Laboratory-reared;Whole body;No;BA
Boswell_2008;NA;10.1665/1082-6467-17.2.307;Insecta;Pterygota;NA;Orthoptera;Caelifera;Acrididae;Schistocerca;americana;Schistocerca americana;Invert;H;Invert H;Terrestrial;0,378940122;-0,421429409;44,96124031;11,09531113;1,13280237;4,727652949;102,5332169;21,68797457;Laboratory-reared;Whole body;No;BA
Carrillo_2002;NA;10.1093/plankt/23.5.538;Hexanauplia;Copepoda;NA;Calanoida;NA;Diaptomidae;Mixodiaptomus;laciniatus;Mixodiaptomus laciniatus;Invert;H;Invert H;Freshwater;2,70E-07;-6,568636236;NA;0,71;NA;NA;NA;NA;Field;Multiple bodies;No;BA
Carrillo_2002;NA;10.1093/plankt/23.5.538;Hexanauplia;Copepoda;NA;Calanoida;NA;Diaptomidae;Mixodiaptomus;laciniatus;Mixodiaptomus laciniatus;Invert;H;Invert H;Freshwater;3,90E-07;-6,408935393;NA;0,73;0,75;NA;NA;2,23;Field;Multiple bodies;No;JS
Carrillo_2002;NA;10.1093/plankt/23.5.538;Hexanauplia;Copepoda;NA;Calanoida;NA;Diaptomidae;Mixodiaptomus;laciniatus;Mixodiaptomus laciniatus;Invert;H;Invert H;Freshwater;5,90E-07;-6,229147988;NA;0,92;0,96;NA;NA;2,4;Field;Multiple bodies;No;JS
Carrillo_2002;NA;10.1093/plankt/23.5.538;Hexanauplia;Copepoda;NA;Calanoida;NA;Diaptomidae;Mixodiaptomus;laciniatus;Mixodiaptomus laciniatus;Invert;H;Invert H;Freshwater;8,70E-07;-6,060480747;NA;1,34;0,95;NA;NA;3,22;Field;Multiple bodies;No;JS
Carrillo_2002;NA;10.1093/plankt/23.5.538;Hexanauplia;Copepoda;NA;Calanoida;NA;Diaptomidae;Mixodiaptomus;laciniatus;Mixodiaptomus laciniatus;Invert;H;Invert H;Freshwater;1,30E-06;-5,886056648;NA;3,28;1,19;NA;NA;5,01;Field;Multiple bodies;No;JS
Carrillo_2002;NA;10.1093/plankt/23.5.538;Hexanauplia;Copepoda;NA;Calanoida;NA;Diaptomidae;Mixodiaptomus;laciniatus;Mixodiaptomus laciniatus;Invert;H;Invert H;Freshwater;1,29E-06;-5,88941029;NA;4,37;0,95;NA;NA;8,18;Field;Multiple bodies;No;JS
Carrillo_2002;NA;10.1093/plankt/23.5.538;Hexanauplia;Copepoda;NA;Calanoida;NA;Diaptomidae;Mixodiaptomus;laciniatus;Mixodiaptomus laciniatus;Invert;H;Invert H;Freshwater;1,81E-06;-5,742321425;NA;5,84;1,11;NA;NA;11,15;Field;Multiple bodies;No;JS
Carrillo_2002;NA;10.1093/plankt/23.5.538;Hexanauplia;Copepoda;NA;Calanoida;NA;Diaptomidae;Mixodiaptomus;laciniatus;Mixodiaptomus laciniatus;Invert;H;Invert H;Freshwater;2,70E-06;-5,568636236;NA;5,57;0,81;NA;NA;15,21;Field;Multiple bodies;No;JS
Carrillo_2002;NA;10.1093/plankt/23.5.538;Hexanauplia;Copepoda;NA;Calanoida;NA;Diaptomidae;Mixodiaptomus;laciniatus;Mixodiaptomus laciniatus;Invert;H;Invert H;Freshwater;3,91E-06;-5,407823243;NA;5,54;0,73;NA;NA;16,42;Field;Multiple bodies;No;JS
Carrillo_2002;NA;10.1093/plankt/23.5.538;Hexanauplia;Copepoda;NA;Calanoida;NA;Diaptomidae;Mixodiaptomus;laciniatus;Mixodiaptomus laciniatus;Invert;H;Invert H;Freshwater;4,60E-06;-5,337242168;NA;5,3;0,63;NA;NA;17,57;Field;Multiple bodies;No;JS
Carrillo_2002;NA;10.1093/plankt/23.5.538;Hexanauplia;Copepoda;NA;Calanoida;NA;Diaptomidae;Mixodiaptomus;laciniatus;Mixodiaptomus laciniatus;Invert;H;Invert H;Freshwater;2,30E-05;-4,638272164;NA;4,4;1,14;NA;NA;9,44;Field;Multiple bodies;No;BA
Carrillo_2002;NA;10.1093/plankt/23.5.538;Hexanauplia;Copepoda;NA;Calanoida;NA;Diaptomidae;Mixodiaptomus;laciniatus;Mixodiaptomus laciniatus;Invert;H;Invert H;Freshwater;1,41E-05;-4,851705903;NA;5,22;0,51;NA;NA;24,76;Field;Multiple bodies;No;JS
Carrillo_2002;NA;10.1093/plankt/23.5.538;Hexanauplia;Copepoda;NA;Calanoida;NA;Diaptomidae;Mixodiaptomus;laciniatus;Mixodiaptomus laciniatus;Invert;H;Invert H;Freshwater;2,61E-05;-4,583858969;NA;5,27;0,43;NA;NA;26,16;Field;Multiple bodies;No;JS
Carrillo_2002;NA;10.1093/plankt/23.5.538;Hexanauplia;Copepoda;NA;Calanoida;NA;Diaptomidae;Mixodiaptomus;laciniatus;Mixodiaptomus laciniatus;Invert;H;Invert H;Freshwater;2,70E-05;-4,568958055;NA;5,54;0,69;NA;NA;20,87;Field;Multiple bodies;No;BA
Clarke_2008;NA;10.3354/meps07670;Pilidiophora;NA;NA;Heteronemertea;NA;Cerebratulidae;Parborlasia;corrugatus;Parborlasia corrugatus;Invert;C;Invert C;Marine;1,424;0,153509989;48,7;13,6;1,21;4,177696078;103,9738292;NA;Field;Body part;No;JS
Clarke_2008;NA;10.3354/meps07670;Pilidiophora;NA;NA;Heteronemertea;NA;Cerebratulidae;Parborlasia;corrugatus;Parborlasia corrugatus;Invert;C;Invert C;Marine;1,424;0,153509989;48,8;13,5;1,12;4,217283951;112,5595238;NA;Field;Body part;No;JS
Clarke_2008;NA;10.3354/meps07670;Gastropoda;Patellogastropoda;NA;NA;NA;Nacellidae;Nacella;concinna;Nacella concinna;Invert;H;Invert H;Marine;0,467465116;-0,330250792;48,8;10,6;1,03;5,371069182;122,394822;NA;Field;Body part;No;JS
Clarke_2008;NA;10.3354/meps07670;Gastropoda;Patellogastropoda;NA;NA;NA;Nacellidae;Nacella;concinna;Nacella concinna;Invert;H;Invert H;Marine;0,467465116;-0,330250792;49,5;12,6;0,34;4,583333333;376,1029412;NA;Field;Body part;No;JS
Clarke_2008;NA;10.3354/meps07670;Gastropoda;Patellogastropoda;NA;NA;NA;Nacellidae;Nacella;concinna;Nacella concinna;Invert;H;Invert H;Marine;0,467465116;-0,330250792;49,4;12,6;0,07;4,574074074;1823,095238;NA;Field;Body part;No;JS
Clarke_2008;NA;10.3354/meps07670;Polychaeta;Palpata;NA;Terebellida;NA;Flabelligeridae;Flabelligera;mundata;Flabelligera mundata;Invert;D;Invert D;Marine;NA;NA;51,1;11,3;0,95;5,275811209;138,9561404;NA;Field;Body part;No;JS
Clarke_2008;NA;10.3354/meps07670;Polychaeta;Scolecida;NA;Canalipalpata;NA;Terebellidae;Thelepus;cincinnatus;Thelepus cincinnatus;Invert;C;Invert C;Marine;NA;NA;52,1;10,9;1,03;5,576452599;130,671521;NA;Field;Body part;No;JS
Clarke_2008;NA;10.3354/meps07670;Polychaeta;Scolecida;NA;Canalipalpata;NA;Terebellidae;Thelepus;cincinnatus;Thelepus cincinnatus;Invert;C;Invert C;Marine;NA;NA;53,1;11,2;1,01;5,53125;135,8168317;NA;Field;Body part;No;JS
Clarke_2008;NA;10.3354/meps07670;Asteroidea;NA;NA;Valvatida;NA;Odontasteridae;Odontaster;validus;Odontaster validus;Invert;O;Invert O;Marine;1,71;0,23299611;49,5;12,6;0,77;4,583333333;166,0714286;NA;Field;Body part;No;JS
Clarke_2008;NA;10.3354/meps07670;Asteroidea;NA;NA;Valvatida;NA;Odontasteridae;Odontaster;validus;Odontaster validus;Invert;O;Invert O;Marine;1,71;0,23299611;50,7;11,5;0,74;5,143478261;176,9932432;NA;Field;Body part;No;JS
Clarke_2008;NA;10.3354/meps07670;Holothuroidea;Dendrochirotacea;NA;Dendrochirotida;NA;Cucumariidae;Heterocucumis;steineni;Heterocucumis steineni;Invert;C;Invert C;Marine;NA;NA;55,5;9,8;0,81;6,607142857;177,0061728;NA;Field;Body part;No;JS
Clarke_2008;NA;10.3354/meps07670;Holothuroidea;Dendrochirotacea;NA;Dendrochirotida;NA;Cucumariidae;Heterocucumis;steineni;Heterocucumis steineni;Invert;C;Invert C;Marine;NA;NA;59,5;10,4;0,68;6,674679487;226,0416667;NA;Field;Body part;No;JS
Czamanski_2011;NA;10.1007/s00227-011-1783-7;Actinopteri;Neopterygii;NA;Atheriniformes;NA;Atherinidae;Atherina;presbyter;Atherina presbyter;Fish;C;Fish C;Marine;3,03;0,481442629;45,5;11;2,3;4,825757576;51,10507246;NA;Field;Whole body (gutted);No;JS
Czamanski_2011;NA;10.1007/s00227-011-1783-7;Actinopteri;Neopterygii;NA;Clupeiformes;Clupeoidei;Engraulidae;Engraulis;encrasicolus;Engraulis encrasicolus;Fish;C;Fish C;Marine;7,5;0,875061263;46;12,3;2;4,363143631;59,41666667;NA;Field;Whole body (gutted);No;JS
Czamanski_2011;NA;10.1007/s00227-011-1783-7;Actinopteri;Neopterygii;NA;Clupeiformes;Clupeoidei;Clupeidae;Sprattus;sprattus;Sprattus sprattus;Fish;C;Fish C;Marine;3;0,477121255;45,5;12,7;2,5;4,179790026;47,01666667;NA;Field;Whole body (gutted);No;JS
Czamanski_2011;NA;10.1007/s00227-011-1783-7;Actinopteri;Neopterygii;NA;Clupeiformes;Clupeoidei;Clupeidae;Sardina;pilchardus;Sardina pilchardus;Fish;C;Fish C;Marine;17;1,230448921;46,3;12,1;2;4,464187328;59,80416667;NA;Field;Whole body (gutted);No;JS
Czamanski_2011;NA;10.1007/s00227-011-1783-7;Actinopteri;Neopterygii;NA;Myctophiformes;NA;Myctophidae;Benthosema;glaciale;Benthosema glaciale;Fish;C;Fish C;Marine;1,5;0,176091259;47,5;9,8;2;5,654761905;61,35416667;NA;Field;Whole body (gutted);No;JS
Czamanski_2011;NA;10.1007/s00227-011-1783-7;Actinopteri;Neopterygii;NA;Argentiniformes;NA;Argentinidae;Argentina;sphyraena;Argentina sphyraena;Fish;C;Fish C;Marine;10;1;42,3;12,2;2,2;4,045081967;49,67045455;NA;Field;Whole body (gutted);No;JS
Czamanski_2011;NA;10.1007/s00227-011-1783-7;Actinopteri;Neopterygii;NA;Gadiformes;Gadoidei;Gadidae;Gadiculus;argenteus;Gadiculus argenteus;Fish;C;Fish C;Marine;7,5;0,875061263;42,4;11,6;2,3;4,264367816;47,62318841;NA;Field;Whole body (gutted);No;JS
Czamanski_2011;NA;10.1007/s00227-011-1783-7;Actinopteri;Neopterygii;NA;Gadiformes;Gadoidei;Merlucciidae;Merluccius;merluccius;Merluccius merluccius;Fish;C;Fish C;Marine;30;1,477121255;42,9;13,4;2,9;3,735074627;38,21551724;NA;Field;Whole body (gutted);No;JS
Czamanski_2011;NA;10.1007/s00227-011-1783-7;Actinopteri;Neopterygii;NA;Spariformes;NA;Sparidae;Spondyliosoma;cantharus;Spondyliosoma cantharus;Fish;O;Fish O;Marine;10;1;42;10,5;2,9;4,666666667;37,4137931;NA;Field;Whole body (gutted);No;JS
Czamanski_2011;NA;10.1007/s00227-011-1783-7;Actinopteri;Neopterygii;NA;Carangiformes;NA;Carangidae;Trachurus;trachurus;Trachurus trachurus;Fish;C;Fish C;Marine;10;1;42,8;11,5;2,4;4,342028986;46,06944444;NA;Field;Whole body (gutted);No;JS
Czamanski_2011;NA;10.1007/s00227-011-1783-7;Actinopteri;Neopterygii;NA;Caproiformes;NA;Caproidae;Capros;aper;Capros aper;Fish;O;Fish O;Marine;34,5;1,537819095;43,8;7,1;3,5;7,197183099;32,32857143;NA;Field;Whole body (gutted);No;JS
Czamanski_2011;NA;10.1007/s00227-011-1783-7;Actinopteri;Neopterygii;NA;Scombriformes;Pelagiaria;Scombridae;Scomber;japonicus;Scomber japonicus;Fish;C;Fish C;Marine;21,5;1,33243846;41,4;13;3,8;3,715384615;28,14473684;NA;Field;Whole body (gutted);No;JS
Czamanski_2011;NA;10.1007/s00227-011-1783-7;Actinopteri;Neopterygii;NA;Scombriformes;Pelagiaria;Scombridae;Scomber;scombrus;Scomber scombrus;Fish;C;Fish C;Marine;35;1,544068044;16,8;11,7;2;1,675213675;21,7;NA;Field;Whole body (gutted);No;JS
Czamanski_2011;NA;10.1007/s00227-011-1783-7;Actinopteri;Neopterygii;NA;Stomiiformes;NA;Sternoptychidae;Argyropelecus;olfersii;Argyropelecus olfersii;Fish;C;Fish C;Marine;5;0,698970004;38,8;11;3,6;4,115151515;27,84259259;NA;Field;Whole body (gutted);No;JS
Czamanski_2011;NA;10.1007/s00227-011-1783-7;NA;NA;NA;NA;NA;NA;Liza;aurata;Liza aurata;Fish;O;Fish O;Marine;1,5;0,176091259;41,9;10,6;3,4;4,61163522;31,83578431;NA;Field;Whole body (gutted);No;JS
Czamanski_2011;NA;10.1007/s00227-011-1783-7;Actinopteri;Neopterygii;NA;Centrarchiformes;NA;Terapontidae;Bidyanus;bidyanus;Bidyanus bidyanus;Fish;O;Fish O;Freshwater;9,15;0,961421094;NA;7,6;1,9;NA;NA;NA;Field;Whole body (gutted);No;JS
Czamanski_2011;NA;10.1007/s00227-011-1783-7;Actinopteri;Neopterygii;NA;Cypriniformes;Cyprinoidei;Cyprinidae;Cirrhinus;mrigala;Cirrhinus mrigala;Fish;O;Fish O;Freshwater;12,51907656;1,097572295;48,6;8,7;1,9;6,517241379;66,07894737;NA;Field;Whole body (gutted);No;JS
Czamanski_2011;NA;10.1007/s00227-011-1783-7;NA;NA;NA;NA;NA;NA;Pelteobagrus;fulvidraco;Pelteobagrus fulvidraco;Fish;C;Fish C;Freshwater;42,3;1,626340367;NA;8,7;0,8;NA;NA;NA;Field;Whole body (gutted);No;JS
Czamanski_2011;NA;10.1007/s00227-011-1783-7;Actinopteri;Neopterygii;NA;Gonorynchiformes;Chanoidei;Chanidae;Chanos;chanos;Chanos chanos;Fish;H;Fish H;Marine;0,00177;-2,752026734;46,2;9,6;2;5,614583333;59,675;NA;Field;Whole body (gutted);No;JS
Czamanski_2011;NA;10.1007/s00227-011-1783-7;Actinopteri;Neopterygii;NA;Perciformes;Percoidei;Moronidae;Dicentrarchus;labrax;Dicentrarchus labrax;Fish;C;Fish C;Marine;0,0063;-2,200659451;58,2;6,8;1,5;9,985294118;100,2333333;NA;Field;Whole body (gutted);No;JS
Czamanski_2011;NA;10.1007/s00227-011-1783-7;NA;NA;NA;NA;NA;NA;Gadus;morhua;Gadus morhua;Fish;C;Fish C;Marine;99,86;1,999391562;50,5;9,3;1,5;6,335125448;86,97222222;NA;Field;Whole body (gutted);No;JS
