Spider;Treatment;Weight (mg);Method;N Area;C Area;N%;C%;C/N ;N Factor;C Factor;obs_ID
WF3;60:20:20;2.5408;2mgChem80s;13 544;25 113;15.68;42.52;2.7123;0.967;1.0032;38
WF29;60:20:20;1.8071;2mgChem80s;11 205;26 687;18.26;63.5;3.477;0.967;1.0032;39
W11;60:20:20;1.7744;2mgChem80s;7 360;18 042;12.25;43.83;3.5764;0.967;1.0032;40
W16;60:20:20;3.0797;2mgChem80s;19 407;29 589;18.48;41.28;2.2345;0.967;1.0032;41
W16;60:20:20;1.5558;2mgChem80s;7 879;15 077;14.96;41.81;2.7958;0.967;1.0032;42
WF27;60:20:20;4.8225;2mgChem80s;24 406;50 258;14.82;44.61;3.0103;0.967;1.0032;43
W1;60:20:20;4.8983;2mgChem80s;22 319;53 769;13.35;46.97;3.5188;0.967;1.0032;44
W29;60:20:20;3.6476;2mgChem80s;13 456;39 671;10.85;46.63;4.2986;0.967;1.0032;45
W29;60:20:20;1.4676;2mgChem80s;7 349;14 383;14.79;42.3;2.8589;0.967;1.0032;46
W14;60:20:20;2.3324;2mgChem80s;12 356;23 321;15.59;43.03;2.7601;0.967;1.0032;47
W5;60:20:20;2.2871;2mgChem80s;11 174;24 093;14.39;45.33;3.1498;0.967;1.0032;48
WF20;60:20:20;2.9668;2mgChem80s;11 841;30 349;11.75;43.95;3.7401;0.967;1.0032;49
WL2;60:20:20;1.9735;2mgChem80s;12 278;18 456;18.31;40.31;2.2012;0.967;1.0032;50
SP10;60:20:20;4.3198;2mgChem80s;22 305;45 292;15.13;44.91;2.9694;0.967;1.0032;51
SP3;60:20:20;4.6276;2mgChem80s;20 929;45 407;13.25;42.03;3.1714;0.967;1.0032;52
SP5;60:20:20;4.271;2mgChem80s;25 050;42 681;17.17;42.83;2.4938;0.967;1.0032;53
WF6;10:45:45;4.4857;2mgChem80s;19 640;47 527;12.84;45.37;3.5347;0.967;1.0032;54
WF13;10:45:45;3.227;2mgChem80s;13 230;33 553;12.06;44.64;3.7017;0.967;1.0032;55
WF13;10:45:45;2.1843;2mgChem80s;7 725;24 425;10.45;48.11;4.6058;0.967;1.0032;56
WF6;10:45:45;2.6404;2mgChem80s;8 576;28 622;9.59;46.59;4.8599;0.967;1.0032;57
WF1;10:45:45;3.0511;2mgChem80s;10 260;20 127;9.91;28.42;2.8669;0.967;1.0032;58
WF11;10:45:45;2.5304;2mgChem80s;13 070;24 231;15.19;41.2;2.7118;0.967;1.0032;59
WF15;10:45:45;1.9419;2mgChem80s;8 695;21 574;13.21;47.84;3.6201;0.967;1.0032;60
WF15;10:45:45;2.8959;2mgChem80s;12 835;32 202;13.04;47.75;3.6621;0.967;1.0032;61
WF1;10:45:45;1.2272;2mgChem80s;4 920;13 699;11.87;48.19;4.06;0.967;1.0032;62
W12;10:45:45;1.3044;2mgChem80s;5 120;14 088;11.62;46.62;4.0122;0.967;1.0032;63
W2;10:45:45;1.5571;2mgChem80s;6 015;16 817;11.43;46.57;4.0759;0.967;1.0032;64
W12;10:45:45;2.5988;2mgChem80s;15 154;25 181;17.13;41.68;2.4331;0.967;1.0032;65
W19;10:45:45;3.1952;2mgChem80s;9 102;32 958;8.4;44.29;5.2698;0.967;1.0032;66
W19;10:45:45;1.6778;2mgChem80s;4 829;18 787;8.52;48.25;5.6626;0.967;1.0032;67
W9;10:45:45;1.6652;2mgChem80s;5 468;20 733;9.72;53.62;5.5185;0.967;1.0032;68
W8;10:45:45;3.9729;2mgChem80s;17 786;45 904;13.13;49.49;3.768;0.967;1.0032;69
WF9;10:45:45;2.508;2mgChem80s;12 052;27 159;14.15;46.56;3.2914;0.967;1.0032;70
W8;10:45:45;4.3012;2mgChem80s;18 478;45 862;12.6;45.67;3.6247;0.967;1.0032;71
SP8;10:45:45;3.3404;2mgChem80s;14 846;35 689;13.06;45.85;3.5107;0.967;1.0032;72
SP7;10:45:45;4.8372;2mgChem80s;18 828;52 381;11.41;46.34;4.0598;0.967;1.0032;73
SP8;10:45:45;3.8055;2mgChem80s;12 752;45 776;9.86;51.52;5.226;0.967;1.0032;74
SP8;10:45:45;3.2235;2mgChem80s;12 655;37 235;11.55;49.55;4.2897;0.967;1.0032;75
SP8;10:45:45;4.7841;2mgChem80s;20 120;51 582;12.33;46.14;3.7433;0.967;1.0032;76
SP8;10:45:45;1.4882;2mgChem80s;5 020;18 112;9.99;52.46;5.2534;0.967;1.0032;77
