Cricket;Treatment;Weight (mg);Method;N Area;C Area;N%;C%;C/N ;N Factor;C Factor;CrickWetMass;CrckEstDry;MassN;MassC;;;;;
C624;60:20:20;2.44;2mgChem80s;10 577;27 366;12.77;48.22;3.7747;0.967;1.0032;0.1663;0.0405728;0.005181147;0.019564204;;;;;
C530;60:20:20;3.8554;2mgChem80s;13 991;46 633;10.67;51.8;4.8557;0.967;1.0032;0.2046;0.0503776;0.00537529;0.026095597;;;;;
C258;60:20:20;4.6873;2mgChem80s;20 194;51 606;12.63;47.12;3.7314;0.967;1.0032;0.0758;0.0174048;0.002198226;0.008201142;;;;;
C625;60:20:20;4.8379;2mgChem80s;21 345;53 963;12.93;47.72;3.6916;0.967;1.0032;0.2279;0.0563424;0.007285072;0.026886593;;;;;
C349;60:20:20;2.8647;2mgChem80s;11 909;32 190;12.24;48.25;3.9429;0.967;1.0032;0.1552;0.0377312;0.004618299;0.018205304;;;;;
C541;10:45:45;2.2417;2mgChem80s;7 755;26 689;10.22;51.19;5.0104;0.967;1.0032;0.1507;0.0365792;0.003738394;0.018724892;;;;;
C452;10:45:45;4.2505;2mgChem80s;13 032;53 063;9.02;53.42;5.9229;0.967;1.0032;0.1978;0.0486368;0.004387039;0.025981779;;;;;
C276;10:45:45;2.9867;2mgChem80s;8 972;38 027;8.86;54.61;6.1613;0.967;1.0032;0.1104;0.0262624;0.002326849;0.014341897;;;;;
C54;10:45:45;1.9681;2mgChem80s;6 165;22 920;9.26;50.13;5.4107;0.967;1.0032;0.1546;0.0375776;0.003479686;0.018837651;;;;;
C634;10:45:45;1.0882;2mgChem80s;3 589;12 638;9.78;50.15;5.1297;0.967;1.0032;0.1054;0.0249824;0.002443279;0.012528674;;;;;
C363;10:45:45;2.9774;2mgChem80s;8 023;37 750;7.96;54.38;6.8349;0.967;1.0032;0.1172;0.0280032;0.002229055;0.01522814;;;;;
C271;10:45:45;2.708;2mgChem80s;9 499;32 454;10.35;51.46;4.9744;0.967;1.0032;0.1345;0.032432;0.003356712;0.016689507;;;;;
C55;10:45:45;4.4185;2mgChem80s;12 992;56 638;8.65;54.83;6.3386;0.967;1.0032;0.1576;0.0383456;0.003316894;0.021024892;;;;;
C458;10:45:45;2.226;2mgChem80s;8 466;25 916;11.23;50.07;4.4602;0.967;1.0032;0.0831;0.0192736;0.002164425;0.009650292;;;;;
C367;10:45:45;1.6238;2mgChem80s;6 664;18 297;12.13;48.57;4.0031;0.967;1.0032;0.1286;0.0309216;0.00375079;0.015018621;;;;;
C543;10:45:45;1.6956;2mgChem80s;5 766;19 380;10.06;49.25;4.895;0.967;1.0032;0.119;0.028464;0.002863478;0.01401852;;;;;
C457;10:45:45;2.0209;2mgChem80s;7 575;23 771;11.07;50.62;4.5714;0.967;1.0032;0.0962;0.0226272;0.002504831;0.011453889;;;;;
C274;10:45:45;1.4803;2mgChem80s;6 071;16 780;12.13;48.88;4.0297;0.967;1.0032;0.1246;0.0298976;0.003626579;0.014613947;;;;;
C542;10:45:45;4.4487;2mgChem80s;15 118;54 108;9.98;52.04;5.2122;0.967;1.0032;0.1428;0.0345568;0.003448769;0.017983359;;;;;
C630;10:45:45;2.5182;2mgChem80s;9 782;28 749;11.45;49.06;4.2837;0.967;1.0032;0.1697;0.0414432;0.004745246;0.020332034;;;;;
