;Spider;Treatment;Weight_mg;Method;N_Area;C_Area;N_Factor;C_Factor;obs_ID;animal_group;component_name;component_mean
131;W1;60:20:20;4.8983;2mgChem80s;22 319;53 769;0.967;1.0032;44;10;N;13.35
132;W1;60:20:20;4.8983;2mgChem80s;22 319;53 769;0.967;1.0032;44;10;CN_ratio;3.5188
133;W29;60:20:20;3.6476;2mgChem80s;13 456;39 671;0.967;1.0032;45;21;C;46.63
134;W29;60:20:20;3.6476;2mgChem80s;13 456;39 671;0.967;1.0032;45;21;N;10.85
135;W29;60:20:20;3.6476;2mgChem80s;13 456;39 671;0.967;1.0032;45;21;CN_ratio;4.2986
136;W29;60:20:20;1.4676;2mgChem80s;7 349;14 383;0.967;1.0032;46;21;C;42.3
137;W29;60:20:20;1.4676;2mgChem80s;7 349;14 383;0.967;1.0032;46;21;N;14.79
138;W29;60:20:20;1.4676;2mgChem80s;7 349;14 383;0.967;1.0032;46;21;CN_ratio;2.8589
139;W14;60:20:20;2.3324;2mgChem80s;12 356;23 321;0.967;1.0032;47;14;C;43.03
140;W14;60:20:20;2.3324;2mgChem80s;12 356;23 321;0.967;1.0032;47;14;N;15.59
141;W14;60:20:20;2.3324;2mgChem80s;12 356;23 321;0.967;1.0032;47;14;CN_ratio;2.7601
142;W5;60:20:20;2.2871;2mgChem80s;11 174;24 093;0.967;1.0032;48;24;C;45.33
143;W5;60:20:20;2.2871;2mgChem80s;11 174;24 093;0.967;1.0032;48;24;N;14.39
144;W5;60:20:20;2.2871;2mgChem80s;11 174;24 093;0.967;1.0032;48;24;CN_ratio;3.1498
145;WF20;60:20:20;2.9668;2mgChem80s;11 841;30 349;0.967;1.0032;49;38;C;43.95
146;WF20;60:20:20;2.9668;2mgChem80s;11 841;30 349;0.967;1.0032;49;38;N;11.75
147;WF20;60:20:20;2.9668;2mgChem80s;11 841;30 349;0.967;1.0032;49;38;CN_ratio;3.7401
148;WL2;60:20:20;1.9735;2mgChem80s;12 278;18 456;0.967;1.0032;50;51;C;40.31
149;WL2;60:20:20;1.9735;2mgChem80s;12 278;18 456;0.967;1.0032;50;51;N;18.31
150;WL2;60:20:20;1.9735;2mgChem80s;12 278;18 456;0.967;1.0032;50;51;CN_ratio;2.2012
151;SP10;60:20:20;4.3198;2mgChem80s;22 305;45 292;0.967;1.0032;51;2;C;44.91
152;SP10;60:20:20;4.3198;2mgChem80s;22 305;45 292;0.967;1.0032;51;2;N;15.13
153;SP10;60:20:20;4.3198;2mgChem80s;22 305;45 292;0.967;1.0032;51;2;CN_ratio;2.9694
154;SP3;60:20:20;4.6276;2mgChem80s;20 929;45 407;0.967;1.0032;52;4;C;42.03
155;SP3;60:20:20;4.6276;2mgChem80s;20 929;45 407;0.967;1.0032;52;4;N;13.25
156;SP3;60:20:20;4.6276;2mgChem80s;20 929;45 407;0.967;1.0032;52;4;CN_ratio;3.1714
157;SP5;60:20:20;4.271;2mgChem80s;25 050;42 681;0.967;1.0032;53;6;C;42.83
158;SP5;60:20:20;4.271;2mgChem80s;25 050;42 681;0.967;1.0032;53;6;N;17.17
159;SP5;60:20:20;4.271;2mgChem80s;25 050;42 681;0.967;1.0032;53;6;CN_ratio;2.4938
160;WF6;10:45:45;4.4857;2mgChem80s;19 640;47 527;0.967;1.0032;54;46;C;45.37
161;WF6;10:45:45;4.4857;2mgChem80s;19 640;47 527;0.967;1.0032;54;46;N;12.84
162;WF6;10:45:45;4.4857;2mgChem80s;19 640;47 527;0.967;1.0032;54;46;CN_ratio;3.5347
163;WF13;10:45:45;3.227;2mgChem80s;13 230;33 553;0.967;1.0032;55;31;C;44.64
164;WF13;10:45:45;3.227;2mgChem80s;13 230;33 553;0.967;1.0032;55;31;N;12.06
165;WF13;10:45:45;3.227;2mgChem80s;13 230;33 553;0.967;1.0032;55;31;CN_ratio;3.7017
166;WF13;10:45:45;2.1843;2mgChem80s;7 725;24 425;0.967;1.0032;56;31;C;48.11
167;WF13;10:45:45;2.1843;2mgChem80s;7 725;24 425;0.967;1.0032;56;31;N;10.45
168;WF13;10:45:45;2.1843;2mgChem80s;7 725;24 425;0.967;1.0032;56;31;CN_ratio;4.6058
169;WF6;10:45:45;2.6404;2mgChem80s;8 576;28 622;0.967;1.0032;57;46;C;46.59
170;WF6;10:45:45;2.6404;2mgChem80s;8 576;28 622;0.967;1.0032;57;46;N;9.59
171;WF6;10:45:45;2.6404;2mgChem80s;8 576;28 622;0.967;1.0032;57;46;CN_ratio;4.8599
172;WF1;10:45:45;3.0511;2mgChem80s;10 260;20 127;0.967;1.0032;58;28;C;28.42
173;WF1;10:45:45;3.0511;2mgChem80s;10 260;20 127;0.967;1.0032;58;28;N;9.91
174;WF1;10:45:45;3.0511;2mgChem80s;10 260;20 127;0.967;1.0032;58;28;CN_ratio;2.8669
175;WF11;10:45:45;2.5304;2mgChem80s;13 070;24 231;0.967;1.0032;59;30;C;41.2
176;WF11;10:45:45;2.5304;2mgChem80s;13 070;24 231;0.967;1.0032;59;30;N;15.19
177;WF11;10:45:45;2.5304;2mgChem80s;13 070;24 231;0.967;1.0032;59;30;CN_ratio;2.7118
178;WF15;10:45:45;1.9419;2mgChem80s;8 695;21 574;0.967;1.0032;60;33;C;47.84
179;WF15;10:45:45;1.9419;2mgChem80s;8 695;21 574;0.967;1.0032;60;33;N;13.21
180;WF15;10:45:45;1.9419;2mgChem80s;8 695;21 574;0.967;1.0032;60;33;CN_ratio;3.6201
181;WF15;10:45:45;2.8959;2mgChem80s;12 835;32 202;0.967;1.0032;61;33;C;47.75
182;WF15;10:45:45;2.8959;2mgChem80s;12 835;32 202;0.967;1.0032;61;33;N;13.04
183;WF15;10:45:45;2.8959;2mgChem80s;12 835;32 202;0.967;1.0032;61;33;CN_ratio;3.6621
184;WF1;10:45:45;1.2272;2mgChem80s;4 920;13 699;0.967;1.0032;62;28;C;48.19
185;WF1;10:45:45;1.2272;2mgChem80s;4 920;13 699;0.967;1.0032;62;28;N;11.87
186;WF1;10:45:45;1.2272;2mgChem80s;4 920;13 699;0.967;1.0032;62;28;CN_ratio;4.06
187;W12;10:45:45;1.3044;2mgChem80s;5 120;14 088;0.967;1.0032;63;13;C;46.62
188;W12;10:45:45;1.3044;2mgChem80s;5 120;14 088;0.967;1.0032;63;13;N;11.62
189;W12;10:45:45;1.3044;2mgChem80s;5 120;14 088;0.967;1.0032;63;13;CN_ratio;4.0122
190;W2;10:45:45;1.5571;2mgChem80s;6 015;16 817;0.967;1.0032;64;19;C;46.57
191;W2;10:45:45;1.5571;2mgChem80s;6 015;16 817;0.967;1.0032;64;19;N;11.43
192;W2;10:45:45;1.5571;2mgChem80s;6 015;16 817;0.967;1.0032;64;19;CN_ratio;4.0759
193;W12;10:45:45;2.5988;2mgChem80s;15 154;25 181;0.967;1.0032;65;13;C;41.68
194;W12;10:45:45;2.5988;2mgChem80s;15 154;25 181;0.967;1.0032;65;13;N;17.13
195;W12;10:45:45;2.5988;2mgChem80s;15 154;25 181;0.967;1.0032;65;13;CN_ratio;2.4331
196;W19;10:45:45;3.1952;2mgChem80s;9 102;32 958;0.967;1.0032;66;18;C;44.29
197;W19;10:45:45;3.1952;2mgChem80s;9 102;32 958;0.967;1.0032;66;18;N;8.4
198;W19;10:45:45;3.1952;2mgChem80s;9 102;32 958;0.967;1.0032;66;18;CN_ratio;5.2698
199;W19;10:45:45;1.6778;2mgChem80s;4 829;18 787;0.967;1.0032;67;18;C;48.25
200;W19;10:45:45;1.6778;2mgChem80s;4 829;18 787;0.967;1.0032;67;18;N;8.52
201;W19;10:45:45;1.6778;2mgChem80s;4 829;18 787;0.967;1.0032;67;18;CN_ratio;5.6626
202;W9;10:45:45;1.6652;2mgChem80s;5 468;20 733;0.967;1.0032;68;27;C;53.62
203;W9;10:45:45;1.6652;2mgChem80s;5 468;20 733;0.967;1.0032;68;27;N;9.72
204;W9;10:45:45;1.6652;2mgChem80s;5 468;20 733;0.967;1.0032;68;27;CN_ratio;5.5185
205;W8;10:45:45;3.9729;2mgChem80s;17 786;45 904;0.967;1.0032;69;26;C;49.49
206;W8;10:45:45;3.9729;2mgChem80s;17 786;45 904;0.967;1.0032;69;26;N;13.13
207;W8;10:45:45;3.9729;2mgChem80s;17 786;45 904;0.967;1.0032;69;26;CN_ratio;3.768
208;WF9;10:45:45;2.508;2mgChem80s;12 052;27 159;0.967;1.0032;70;49;C;46.56
209;WF9;10:45:45;2.508;2mgChem80s;12 052;27 159;0.967;1.0032;70;49;N;14.15
210;WF9;10:45:45;2.508;2mgChem80s;12 052;27 159;0.967;1.0032;70;49;CN_ratio;3.2914
211;W8;10:45:45;4.3012;2mgChem80s;18 478;45 862;0.967;1.0032;71;26;C;45.67
212;W8;10:45:45;4.3012;2mgChem80s;18 478;45 862;0.967;1.0032;71;26;N;12.6
213;W8;10:45:45;4.3012;2mgChem80s;18 478;45 862;0.967;1.0032;71;26;CN_ratio;3.6247
214;SP8;10:45:45;3.3404;2mgChem80s;14 846;35 689;0.967;1.0032;72;8;C;45.85
215;SP8;10:45:45;3.3404;2mgChem80s;14 846;35 689;0.967;1.0032;72;8;N;13.06
216;SP8;10:45:45;3.3404;2mgChem80s;14 846;35 689;0.967;1.0032;72;8;CN_ratio;3.5107
217;SP7;10:45:45;4.8372;2mgChem80s;18 828;52 381;0.967;1.0032;73;7;C;46.34
218;SP7;10:45:45;4.8372;2mgChem80s;18 828;52 381;0.967;1.0032;73;7;N;11.41
219;SP7;10:45:45;4.8372;2mgChem80s;18 828;52 381;0.967;1.0032;73;7;CN_ratio;4.0598
220;SP8;10:45:45;3.8055;2mgChem80s;12 752;45 776;0.967;1.0032;74;8;C;51.52
221;SP8;10:45:45;3.8055;2mgChem80s;12 752;45 776;0.967;1.0032;74;8;N;9.86
222;SP8;10:45:45;3.8055;2mgChem80s;12 752;45 776;0.967;1.0032;74;8;CN_ratio;5.226
223;SP8;10:45:45;3.2235;2mgChem80s;12 655;37 235;0.967;1.0032;75;8;C;49.55
224;SP8;10:45:45;3.2235;2mgChem80s;12 655;37 235;0.967;1.0032;75;8;N;11.55
225;SP8;10:45:45;3.2235;2mgChem80s;12 655;37 235;0.967;1.0032;75;8;CN_ratio;4.2897
226;SP8;10:45:45;4.7841;2mgChem80s;20 120;51 582;0.967;1.0032;76;8;C;46.14
227;SP8;10:45:45;4.7841;2mgChem80s;20 120;51 582;0.967;1.0032;76;8;N;12.33
228;SP8;10:45:45;4.7841;2mgChem80s;20 120;51 582;0.967;1.0032;76;8;CN_ratio;3.7433
229;SP8;10:45:45;1.4882;2mgChem80s;5 020;18 112;0.967;1.0032;77;8;C;52.46
230;SP8;10:45:45;1.4882;2mgChem80s;5 020;18 112;0.967;1.0032;77;8;N;9.99
231;SP8;10:45:45;1.4882;2mgChem80s;5 020;18 112;0.967;1.0032;77;8;CN_ratio;5.2534
